report_date_as_yyyy_mm_dd,market_and_exchange_names,open_interest_all,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,lev_net_position
2011-07-05,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2494190,329216,728560,36913,-399344
2011-07-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,795442,88998,154758,28652,-65760
2011-07-12,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,275156,26581,29682,1742,-3101
2011-07-12,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2601431,401528,714819,45107,-313291
2011-07-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,792364,80779,153187,33546,-72408
2011-07-19,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,272520,26801,32676,1706,-5875
2011-07-19,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2599222,382409,715077,46680,-332668
2011-07-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,802406,79675,158374,35876,-78699
2011-07-26,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2581474,371928,752763,46537,-380835
2011-07-26,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,286111,30269,32801,1589,-2532
2011-08-02,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,855617,86773,166673,46002,-79900
2011-08-02,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2811337,505148,754635,58897,-249487
2011-08-02,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,293350,18090,48092,1876,-30002
2011-08-09,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,334651,23923,100203,3600,-76280
2011-08-09,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1011909,108337,195677,96975,-87340
2011-08-09,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3386290,793640,848941,95302,-55301
2011-08-16,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3229005,713133,995757,69710,-282624
2011-08-16,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,332182,30353,89598,2569,-59245
2011-08-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,977983,100566,216336,88925,-115770
2011-08-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1062071,91509,229378,132280,-137869
2011-08-23,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,374395,41772,132128,2823,-90356
2011-08-23,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3438382,810037,1047600,85936,-237563
2011-08-30,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,399825,45954,122549,3181,-76595
2011-08-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1113795,93187,245970,122658,-152783
2011-08-30,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3569848,745575,1126519,87973,-380944
2011-09-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1193021,100804,245081,141324,-144277
2011-09-06,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3762716,844234,1142001,96625,-297767
2011-09-06,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,440478,50527,135250,3430,-84723
2011-09-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,504766,74148,151067,22320,-76919
2011-09-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1322673,121024,248472,178267,-127448
2011-09-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,4089537,887102,1139748,127015,-252646
2011-09-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,849368,67888,197372,14169,-129484
2011-09-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2920552,235364,825180,33998,-589816
2011-09-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,265258,27484,39005,701,-11521
2011-09-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,285734,32339,58759,961,-26420
2011-09-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2976793,412363,733219,29379,-320856
2011-09-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,881093,80056,170647,41592,-90591
2011-10-04,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3143543,451553,761764,54547,-310211
2011-10-04,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,296855,33117,65716,1060,-32599
2011-10-04,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,925564,83496,178137,51901,-94641
2011-10-11,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,886848,76210,174697,46117,-98487
2011-10-11,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3011932,387311,768062,36317,-380751
2011-10-11,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,284462,36109,58446,1493,-22337
2011-10-18,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,892321,74350,178416,45634,-104066
2011-10-18,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,291559,40103,56947,2366,-16844
2011-10-18,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3003811,351761,787868,35816,-436107
2011-10-25,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,896677,77493,174607,56581,-97114
2011-10-25,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,295815,42793,64349,2704,-21556
2011-10-25,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3004309,398479,776268,44405,-377789
2011-11-01,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2848461,452661,715142,42125,-262481
2011-11-01,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,290124,33536,65204,3240,-31668
2011-11-01,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,859816,81098,165262,54635,-84164
2011-11-08,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,874939,76836,168790,58051,-91954
2011-11-08,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2891815,420161,750957,49841,-330796
2011-11-08,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,296576,38013,63808,2873,-25795
2011-11-15,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,305369,37885,67588,3336,-29703
2011-11-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,897885,80136,163809,62948,-83673
2011-11-15,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2962579,458502,728350,50813,-269848
2011-11-22,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,294476,29831,65232,3344,-35401
2011-11-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,901580,75673,173413,65516,-97740
2011-11-22,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3035521,488659,800358,51410,-311699
2011-11-29,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,902281,74200,175309,66677,-101109
2011-11-29,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3015865,476417,800246,54940,-323829
2011-11-29,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,299108,31006,67349,3600,-36343
2011-12-06,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,323580,41297,67975,3988,-26678
2011-12-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,926993,90972,156434,73460,-65462
2011-12-06,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3017064,526590,720510,69141,-193920
2011-12-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3406086,559634,748621,176272,-188987
2011-12-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,342167,38826,65181,5639,-26355
2011-12-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1023384,99693,163845,91953,-64152
2011-12-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2561308,362391,655009,40177,-292618
2011-12-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,233129,25790,21573,1519,4217
2011-12-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,745391,80101,134407,27722,-54306
2011-12-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,764761,77711,135407,38053,-57696
2011-12-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,242649,35865,22943,1489,12922
2011-12-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2610560,352216,705306,39832,-353090
2012-01-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,788830,84966,128283,48286,-43317
2012-01-03,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2671088,387404,719559,43212,-332155
2012-01-03,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,254612,45660,22546,1469,23114
2012-01-10,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2592195,385845,659674,41785,-273829
2012-01-10,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,237402,20450,21911,1446,-1461
2012-01-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,755841,85247,141474,22175,-56227
2012-01-17,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2624154,392926,691835,58646,-298909
2012-01-17,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,241768,22336,22258,1578,78
2012-01-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,766599,86564,146268,27664,-59704
2012-01-24,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2683566,406258,731534,66982,-325276
2012-01-24,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,258281,29241,21710,1973,7531
2012-01-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,794994,87093,144618,38769,-57525
2012-01-31,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,799299,94168,153691,32250,-59523
2012-01-31,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,253264,18841,24959,1729,-6118
2012-01-31,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2730177,465283,732309,63955,-267026
2012-02-07,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,798596,86819,153758,33627,-66939
2012-02-07,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,253617,17916,26292,2079,-8376
2012-02-07,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2724897,439585,732396,62673,-292811
2012-02-14,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2756775,420032,777578,82197,-357546
2012-02-14,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,244939,18053,24608,1995,-6555
2012-02-14,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,796294,89195,167259,31299,-78064
2012-02-21,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2802676,447449,814558,96517,-367109
2012-02-21,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,247517,20018,28684,2077,-8666
2012-02-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,808052,90622,172710,40266,-82088
2012-02-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,811993,95476,176377,37232,-80901
2012-02-28,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,246409,21406,27963,2195,-6557
2012-02-28,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2827921,460665,832386,84868,-371721
2012-03-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,846787,91677,188615,49620,-96938
2012-03-06,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,252705,21905,36068,3815,-14163
2012-03-06,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2970409,486821,900694,91064,-413873
2012-03-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,967328,103392,189418,71287,-86026
2012-03-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,303611,22523,28426,20520,-5903
2012-03-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3318585,524465,925081,133716,-400616
2012-03-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2694315,381653,768533,52355,-386880
2012-03-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,222267,12802,27858,1290,-15056
2012-03-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,761130,84966,177398,15928,-92432
2012-03-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,226179,15451,31256,1368,-15805
2012-03-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,772728,83607,181354,18014,-97747
2012-03-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2732746,373935,783647,50076,-409712
2012-04-03,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,225382,15139,31831,938,-16692
2012-04-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,776067,92376,174273,20602,-81897
2012-04-03,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2753427,424611,750632,59896,-326021
2012-04-10,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,235498,15753,39870,1054,-24117
2012-04-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,790586,84439,180624,29766,-96185
2012-04-10,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2775438,428693,789031,58297,-360338
2012-04-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,796135,92328,178866,27659,-86538
2012-04-17,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,235260,19134,35518,1376,-16384
2012-04-17,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2804377,435869,786641,61513,-350772
2012-04-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,805068,83360,174887,39372,-91527
2012-04-24,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2819711,443242,789602,61344,-346360
2012-04-24,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,241126,19466,41721,2349,-22255
2012-05-01,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,816564,102161,177123,38492,-74962
2012-05-01,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2858768,503658,818518,69465,-314860
2012-05-01,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,244810,23352,35342,2677,-11990
2012-05-08,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,249212,21914,44815,2744,-22901
2012-05-08,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,822718,85931,191008,45552,-105077
2012-05-08,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2867529,467894,878774,66233,-410880
2012-05-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,851882,92848,189673,56559,-96825
2012-05-15,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,258319,25716,51953,2981,-26237
2012-05-15,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2967815,516223,869160,87330,-352937
2012-05-22,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3000650,472946,946498,74613,-473552
2012-05-22,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,273358,30035,55563,2909,-25528
2012-05-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,873488,78011,198249,64445,-120238
2012-05-29,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,273113,29205,54139,2909,-24934
2012-05-29,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3040378,482005,968622,77543,-486617
2012-05-29,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,881189,81316,203574,62707,-122258
2012-06-05,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,300032,31148,57862,3281,-26714
2012-06-05,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3166379,486819,942245,111486,-455426
2012-06-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,933308,84497,202297,69593,-117800
2012-06-12,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,332202,34046,57484,9798,-23438
2012-06-12,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3420267,459156,1004581,135312,-545425
2012-06-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1016255,80804,213327,81933,-132523
2012-06-19,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2590421,290820,781426,37332,-490606
2012-06-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,740602,65277,180663,12766,-115386
2012-06-19,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,222518,11129,28393,1284,-17264
2012-06-26,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2741979,358283,818852,38057,-460569
2012-06-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,774074,74950,185575,17841,-110625
2012-06-26,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,225678,12299,30810,1224,-18511
2012-07-03,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2730453,364797,784427,51609,-419630
2012-07-03,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,227230,14501,30449,1057,-15948
2012-07-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,773321,76684,176558,22155,-99874
2012-07-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,794026,71292,194078,30586,-122786
2012-07-10,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2795931,374069,874279,55228,-500210
2012-07-10,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,234840,14828,37572,1190,-22744
2012-07-17,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2808514,354195,861700,57183,-507505
2012-07-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,801482,68919,194064,30595,-125145
2012-07-17,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,239779,15619,39263,1619,-23644
2012-07-24,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,245444,16806,50335,1435,-33529
2012-07-24,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2860141,375685,887639,61901,-511954
2012-07-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,817472,59558,195478,46200,-135920
2012-07-31,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,230496,14526,40081,1631,-25555
2012-07-31,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,781796,78580,190087,29711,-111507
2012-07-31,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2756499,407933,837690,52737,-429757
2012-08-07,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2831826,418858,862982,65568,-444124
2012-08-07,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,802712,84556,193191,31835,-108635
2012-08-07,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,236347,17325,37136,2180,-19811
2012-08-14,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2922565,427991,952778,71356,-524787
2012-08-14,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,820949,84025,213695,33196,-129670
2012-08-14,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,236436,14948,39661,2403,-24713
2012-08-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,834977,83996,219374,36696,-135378
2012-08-21,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2998239,457071,979268,82165,-522197
2012-08-21,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,235329,10412,41350,2433,-30938
2012-08-28,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3056383,487525,1031297,78471,-543772
2012-08-28,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,237263,10020,35525,2598,-25505
2012-08-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,848540,91495,225754,34322,-134259
2012-09-04,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3099775,497607,1057857,83920,-560250
2012-09-04,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,241669,10994,43212,2302,-32218
2012-09-04,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,861624,86395,230663,43206,-144268
2012-09-11,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3193602,526652,1068282,90163,-541630
2012-09-11,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,871458,97927,229323,41603,-131396
2012-09-11,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,232738,13272,36342,2895,-23070
2012-09-18,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3584406,546870,1029082,142949,-482212
2012-09-18,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,976025,106346,218300,60947,-111954
2012-09-18,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,259144,20121,35632,9208,-15511
2012-09-25,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2831321,482240,775094,60564,-292854
2012-09-25,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,754465,95781,172439,20668,-76658
2012-09-25,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,188201,6860,24948,1028,-18088
2012-10-02,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,777618,103191,186699,21771,-83508
2012-10-02,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,192396,8884,30511,1055,-21627
2012-10-02,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2926111,524238,833643,50877,-309405
2012-10-09,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,775286,102058,185393,17771,-83335
2012-10-09,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2902097,503585,831364,39517,-327779
2012-10-09,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,194867,10334,28114,874,-17780
2012-10-16,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,198942,12454,23668,697,-11214
